"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL","Upload Image","Visa Category Description","Visa Category Background","Visa Link","home page news link","home page testimonial link","Testimonial Main Title","Testimonial Name","Testimonial Read More Link","Main heading","Box One Title","Box One Image","Box One Decription","Box Two Title","Box Two Image","Box Two Description","Box Three Title","Box three image","Box Three Description","Box Four Title","Box Four Image","Box four description","Box Five Title","Box Five Image","Box Five description","Box Six Title","Box Six Image","Box Six Description","Secondary TItle","Facebook Link","Twitter Link","Linkedin Link","Main Heading","Section Image","Sub Heading","Section Content_front_page","Section Extra Content","Section Link","Total amount","Country Main Title","Country First Title","Country First Content","Country Second Title","Country second Content","Country Bottom Content","First Box Image","First Box Title","First Box Content","First Box Link","Second Box Title","Second Box  Image","Second Box Content","Second Box Link","Third Box Title","Third Box Image","Third Box Content","Third Box Link","Fourth Box Title","Fourth Box Image","Fourth Box Content","Fourth Box Link","Fifth Box Title","Fifth Box Image","Fifth Box Content","Fifth Box Link","Six Box Title","Six Box Image","Six Box Content","Six Box Link","Contact Top Content","Contact form Title Right Side","Contact Info Tile","Contact Info Content","Branch office Title","Branch Ofiice Second Title","Branch office Content","Second Branch Office Title","Second Branch Office Sub Title","Second Branch Office Content","Offshore office Title","Offshore Office Second Title","Offshore Office Content","Upcoming Office Title","Upcoming Office Image 1","Upcoming Office  Image 2","Upcoming Office Image 3","Upcoming Office Image 4","Categories Title1","Categories Title Link1","Categories Title2","Categories Title Link2","Categories Title3","Categories Title Link3","Categories Title4","Categories Title Link4","Categories Title5","Categories Title Link5","Categories Title6","Categories Title Link6"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/blog-1.jpg|http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/blog-2.jpg,"blog-1|illuminated bulb","|a man pointing to the illuminated bulb",|,|,http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/blog-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/img-australia.jpg|http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/blog-2-1.jpg,"img-australia|illuminated bulb","|a man pointing to the illuminated bulb",|,|,http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/img-australia.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/blog-1.jpg,blog-1,,,,http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/blog-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/blog-2.jpg,"illuminated bulb","a man pointing to the illuminated bulb",,,http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/blog-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/TOEFL.jpg|http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/TOEFL-1.jpg,TOEFL|TOEFL,|,|,|,http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/TOEFL.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/2013-07-19_181425_New-Adelaide-South-Australia-Branding-Logo.jpg,2013-07-19_181425_New-Adelaide-South-Australia-Branding-Logo,,,,http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/2013-07-19_181425_New-Adelaide-South-Australia-Branding-Logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/cease.jpg,"dont do it!","Little white people that STOP you from doing the wrong",,,http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/cease.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/2013-07-19_181425_New-Adelaide-South-Australia-Branding-Logo.jpg,2013-07-19_181425_New-Adelaide-South-Australia-Branding-Logo,,,,http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/2013-07-19_181425_New-Adelaide-South-Australia-Branding-Logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/change-ahead.png,change-ahead,,,,http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/change-ahead.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/Modi-In-Canada.jpg,Modi-In-Canada,,,,http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/Modi-In-Canada.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/ImmigrationXperts.com_.jpg,ImmigrationXperts.com_,,,,http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/ImmigrationXperts.com_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/INDIA-MODI-MEET.jpg,INDIA-MODI-MEET,,,,http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/INDIA-MODI-MEET.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/Xperts-Vibrant-Gujarat-Canada-2015.jpg,Xperts-Vibrant-Gujarat-Canada-2015,,,,http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/Xperts-Vibrant-Gujarat-Canada-2015.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/Australia.jpg,Australia,,,,http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/Australia.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/canada.png,canada,,,,http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/canada.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/skilled-migration-program-300x152.jpg,skilled-migration-program-300x152,,,,http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/skilled-migration-program-300x152.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/Bupa-150x150.jpg,Bupa-150x150,,,,http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/Bupa-150x150.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/Migrating-To-Australia-300x175.png,Migrating-To-Australia-300x175,,,,http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/Migrating-To-Australia-300x175.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/10-reasons-to-immigrate-to-australia-1-638.jpg,10-reasons-to-immigrate-to-australia-1-638,,,,http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/10-reasons-to-immigrate-to-australia-1-638.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/SkilledWorkforce.jpg,SkilledWorkforce,,,,http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/SkilledWorkforce.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/melbourne.jpg,melbourne,,,,http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/melbourne.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/VEVO.jpg,VEVO,,,,http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/VEVO.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/2013-07-19_181425_New-Adelaide-South-Australia-Branding-Logo.jpg,2013-07-19_181425_New-Adelaide-South-Australia-Branding-Logo,,,,http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/2013-07-19_181425_New-Adelaide-South-Australia-Branding-Logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/download.jpg,download,,,,http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/download.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/Canada-Federal-Skilled-Worker-Programme-.png,Canada-Federal-Skilled-Worker-Programme-,,,,http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/Canada-Federal-Skilled-Worker-Programme-.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/Last-Chance-for-Canadian-Federal-Skilled-Worker-Visas.jpg,Last-Chance-for-Canadian-Federal-Skilled-Worker-Visas,,,,http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/Last-Chance-for-Canadian-Federal-Skilled-Worker-Visas.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/FSW.jpg,FSW,,,,http://click-demo.com/immigrationxperts/wp-content/uploads/2016/06/FSW.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
